EnsemblID	Symbol	RA_1	RA_2	RA_3	TGFb_1	TGFb_2	TGFb_3	RA_TGFb_1	RA_TGFb_2	RA_TGFb_3	WT_1	WT_2	WT_3
ENSMUSG00000086235	Gm16284	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253	Gm38259	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093970	Gm23358	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	Gm37005	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	Gm15452	5	1	3	2	5	3	3	0	0	8	5	4
ENSMUSG00000103933	Gm36964	1	1	1	1	3	0	2	0	2	3	2	2
ENSMUSG00000076135	Gm24276	0	0	1	1	0	0	0	0	0	0	1	3
ENSMUSG00000086195	Gm6152	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000104504	Gm7445	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693	Gm7493	0	0	0	0	0	1	0	1	0	0	0	0
ENSMUSG00000102316	Gm37629	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103819	Gm38008	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871	Gm37143	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571	Gm6187	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000104428	Gm18299	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	Gm7512	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065625	Gm24765	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	Gm18300	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061024	Rrs1	608	670	549	505	481	490	331	663	529	685	624	819
ENSMUSG00000025911	Adhfe1	4	6	5	4	2	8	6	6	4	4	8	6
ENSMUSG00000079671	2610203C22Rik	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081441	Gm6161	4	3	2	2	7	1	2	3	2	2	1	3
ENSMUSG00000067879	3110035E14Rik	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099827	Gm29520	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	Mybl1	88	96	66	132	160	107	33	62	38	198	158	215
ENSMUSG00000045210	Vcpip1	3488	4053	3533	4301	3952	3999	3504	5768	5048	3701	3963	4957
ENSMUSG00000097893	1700034P13Rik	11	4	3	4	11	9	10	9	8	6	2	3
ENSMUSG00000025915	Sgk3	147	189	192	400	357	372	164	346	221	330	290	422
ENSMUSG00000046334	Gm6195	1	0	0	0	0	1	0	0	0	0	2	1
ENSMUSG00000088916	Gm22607	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046101	Mcmdc2	0	1	0	1	3	1	1	1	0	1	0	3
ENSMUSG00000098234	Snhg6	291	485	333	220	186	204	155	282	228	379	317	443
ENSMUSG00000093178	Snord87	1	2	0	3	2	1	0	2	2	1	1	2
ENSMUSG00000099032	Tcf24	0	0	0	3	1	1	2	3	0	0	0	0
ENSMUSG00000104025	E330040D14Rik	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025916	Ppp1r42	0	1	1	0	1	0	0	1	2	1	1	1
ENSMUSG00000087199	Gm15818	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095780	Gm24674	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025917	Cops5	1069	1373	974	1276	1163	1113	873	1546	1274	1220	1164	1448
ENSMUSG00000056763	Cspp1	799	876	854	1178	1243	1129	915	1519	1223	1066	892	1499
ENSMUSG00000102356	1700047N06Rik	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067851	Arfgef1	5436	6713	5402	6269	6238	6126	5404	9072	8081	5353	5736	7611
ENSMUSG00000088153	Gm26348	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102556	Gm37569	1	0	0	1	0	0	1	1	1	1	0	0
ENSMUSG00000042501	Cpa6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103810	Gm38005	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083422	Gm15604	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094979	Gm25253	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081417	Gm15603	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103448	Gm37133	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100212	Gm5522	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100648	Gm28659	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000088585	Gm22963	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048960	Prex2	0	1	0	0	4	2	1	1	0	0	0	1
ENSMUSG00000077318	Gm24173	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101827	Gm28686	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103494	Gm37410	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057715	A830018L16Rik	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000103825	Gm38178	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099845	Gm29273	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103561	Gm38069	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101610	Gm7560	0	2	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000093864	Gm22633	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098555	Mir6341	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097628	Gm2383	1	1	1	1	0	1	0	0	0	1	2	2
ENSMUSG00000098163	Gm6216	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097171	Gm17644	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101314	Gm29663	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016918	Sulf1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025938	Slco5a1	0	2	0	1	2	2	1	1	2	1	0	1
ENSMUSG00000104518	Gm37162	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069620	Gm5250	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099498	Gm29283	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042414	Prdm14	0	0	0	0	0	3	0	4	0	1	0	3
ENSMUSG00000005886	Ncoa2	4076	4940	4026	4634	4217	4301	3690	6327	5393	4448	4497	5851
ENSMUSG00000103506	Gm38376	4	1	1	3	0	2	1	1	1	5	3	2
ENSMUSG00000103495	Gm37409	0	0	2	1	0	0	1	0	0	1	1	0
ENSMUSG00000099183	Gm27881	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102639	Gm38223	1	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000104170	Gm37702	0	1	1	0	1	0	0	0	2	0	0	2
ENSMUSG00000087782	Gm23169	0	1	0	0	1	0	0	0	0	2	0	1
ENSMUSG00000103085	Gm38120	5	5	3	5	3	5	2	2	5	3	8	16
ENSMUSG00000102664	Gm38380	2	3	0	1	0	5	1	5	3	5	3	4
ENSMUSG00000101476	Gm29570	0	0	0	1	0	2	0	2	0	2	0	1
ENSMUSG00000101171	Gm7593	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025935	Tram1	2817	3390	2494	3456	3133	3503	2214	3639	2812	3504	3682	4915
ENSMUSG00000025937	Lactb2	389	503	448	329	380	403	270	359	331	573	491	624
ENSMUSG00000102982	Gm38319	17	18	10	22	8	21	19	17	19	20	15	27
ENSMUSG00000067813	Xkr9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077368	Gm26273	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097711	Gm5523	6	2	6	1	1	3	0	0	0	5	2	2
ENSMUSG00000102166	Gm36947	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089358	Gm25491	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104209	Gm37400	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025932	Eya1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095853	Gm22616	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102588	Gm37444	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054493	Gm9947	0	1	2	10	7	10	1	2	1	3	2	3
ENSMUSG00000025930	Msc	13	5	14	131	117	128	5	4	9	29	26	37
ENSMUSG00000103492	Gm37412	0	1	0	3	3	1	0	0	0	1	0	3
ENSMUSG00000081201	Smt3h2-ps4	1	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000082193	Rpl5-ps1	11	26	5	11	14	14	8	8	12	25	9	16
ENSMUSG00000032769	Trpa1	6	1	0	1	0	1	0	0	1	1	1	0
ENSMUSG00000088159	Gm26345	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073737	Gm10566	6	8	4	2	3	1	1	3	6	6	7	5
ENSMUSG00000092083	Kcnb2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102937	Gm38116	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104149	Gm37138	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088829	Gm25227	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077377	Gm25168	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101652	Gm6060	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100814	Gm28669	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025925	Terf1	545	592	536	721	619	643	415	785	607	800	688	1000
ENSMUSG00000104379	Gm37509	5	8	9	12	11	8	8	13	19	11	19	19
ENSMUSG00000032719	Sbspon	0	0	0	0	1	2	0	0	0	1	0	0
ENSMUSG00000088943	Gm23259	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100652	Gm7634	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067795	4930444P10Rik	0	0	1	0	0	1	0	0	0	0	0	1
ENSMUSG00000043716	Rpl7	35330	45853	32120	28461	27180	27866	15827	30597	25276	42827	40950	51319
ENSMUSG00000025921	Rdh10	270	257	217	367	336	345	347	512	476	304	312	322
ENSMUSG00000104165	Gm38249	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100868	Gm28095	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025920	Stau2	102	134	67	36	37	40	15	31	29	23	13	26
ENSMUSG00000089982	Gm7568	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025939	Ube2w	252	317	243	389	323	332	221	370	296	319	310	434
ENSMUSG00000102457	Gm38342	2	2	2	4	4	3	1	2	1	2	0	1
ENSMUSG00000079658	Tceb1	689	786	519	748	620	709	518	868	663	845	738	932
ENSMUSG00000097744	D030040B21Rik	0	0	0	0	0	0	0	1	0	0	0	1
ENSMUSG00000100959	Gm7654	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025940	Tmem70	586	688	533	566	521	572	383	697	604	722	633	802
ENSMUSG00000025779	Ly96	20	14	10	19	18	24	12	7	8	26	25	11
ENSMUSG00000100093	Gm29649	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091020	Gm5828	4	7	5	4	8	5	0	7	5	4	5	1
ENSMUSG00000101640	Gm28376	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104133	4921511E07Rik	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042686	Jph1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100110	Gm28783	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025777	Gdap1	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000099899	Gm28784	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100272	Gm28785	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100398	Gm5251	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101589	Rbm6-ps1	21	31	28	35	40	30	27	54	36	23	31	47
ENSMUSG00000102048	Gm6075	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089534	Gm25166	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067780	Pi15	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100053	Gm28154	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085125	Gm16070	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025776	Crispld1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099895	Gm28153	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100554	Gm7690	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099473	Gm18775	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099591	Gm17969	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000102001	Gm28755	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101717	Gm28756	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025774	Crisp4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070977	Defb44-ps	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073735	Defb18	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067773	Gm15386	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101685	Gm17837	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000101738	Gm29006	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101306	Gm5252	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088800	Gm24075	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101644	Gm28343	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099433	Gm28344	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089787	Gm15825	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042596	Tfap2d	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100720	Gm10075	0	1	0	0	1	1	0	1	1	6	2	4
ENSMUSG00000025927	Tfap2b	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100538	Gm28340	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101117	Gm28341	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100204	Gm4849	1	4	2	3	5	2	1	1	5	2	3	8
ENSMUSG00000084668	Gm24633	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102597	Gm38382	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043760	Pkhd1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104095	Gm37315	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089914	4930486I03Rik	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090142	Gm15795	7	7	4	4	0	4	2	5	7	4	7	12
ENSMUSG00000070175	Gm24162	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065559	Mir206	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099906	Gm28653	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065480	Mir133b	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025929	Il17a	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000041872	Il17f	0	2	2	5	1	2	1	3	1	1	2	4
ENSMUSG00000041859	Mcm3	2841	3690	2365	3191	2725	3075	1051	1851	1534	4968	4412	5627
ENSMUSG00000099714	Gm20587	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102121	Gm28065	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088858	Gm24723	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097934	6720483E21Rik	1	1	3	2	5	4	3	3	3	6	5	4
ENSMUSG00000025931	Paqr8	141	152	152	245	247	222	143	221	190	147	183	243
ENSMUSG00000077314	Gm24171	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100929	Gm28064	0	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000041809	Efhc1	15	17	15	30	36	26	13	44	20	19	28	24
ENSMUSG00000041779	Tram2	204	251	173	371	343	348	186	332	289	241	308	416
ENSMUSG00000099971	Gm28287	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100819	Gm2693	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000025933	Tmem14a	41	34	32	38	39	51	44	64	63	24	29	39
ENSMUSG00000102633	Gm38224	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025934	Gsta3	3	3	2	3	1	3	3	14	11	0	4	3
ENSMUSG00000099343	Gm28836	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000096375	Gm7094	0	0	0	0	0	0	1	0	1	0	1	0
ENSMUSG00000025936	Gm4956	159	217	61	0	0	0	0	5	6	4	0	0
ENSMUSG00000093963	Gm21909	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067750	Khdc1a	163	99	39	0	1	0	2	2	0	11	2	1
ENSMUSG00000086194	Gm16329	86	79	23	0	0	0	0	1	0	12	0	1
ENSMUSG00000094436	Gm16327	3	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041722	Khdc1c	44	14	5	0	0	0	0	0	0	1	0	1
ENSMUSG00000085507	Gm2709	5	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000094926	Gm16533	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085079	Khdc1b	19	15	5	0	0	0	0	0	0	1	0	0
ENSMUSG00000085679	Gm16328	3	1	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000028033	Kcnq5	338	616	351	71	80	83	18	26	21	235	272	344
ENSMUSG00000104138	Gm36949	1	1	0	0	0	0	0	0	0	0	3	0
ENSMUSG00000082935	Gm7658	40	53	38	27	26	28	13	35	32	65	55	50
ENSMUSG00000103748	Gm38243	0	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000097109	Gm26580	3	4	0	0	0	0	0	0	0	0	2	2
ENSMUSG00000099692	Gm5696	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000100418	Gm28239	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041670	Rims1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097642	Gm26866	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101468	Gm7761	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101227	Gm29506	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073730	4933415F23Rik	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089553	Gm24176	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102766	Gm6420	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065405	Mir30a	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097970	Gm27028	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065567	Mir30c-2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100775	Gm29107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101226	Gm20954	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026158	Ogfrl1	548	522	463	632	539	541	265	516	424	632	561	651
ENSMUSG00000097920	Gm7784	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000099503	Gm28822	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026156	B3gat2	15	13	16	15	11	14	7	21	17	15	12	11
ENSMUSG00000026155	Smap1	1725	1831	1427	1927	1724	1765	1351	2239	1951	1658	1376	1801
ENSMUSG00000026154	Sdhaf4	183	254	172	193	196	252	195	360	271	186	199	246
ENSMUSG00000102495	Gm26524	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026153	Fam135a	3	1	2	10	11	9	1	0	1	14	11	17
ENSMUSG00000102398	Gm37580	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097670	Gm26607	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026147	Col9a1	0	0	0	0	0	0	0	0	0	0	0	0
